

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 19,1
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.801946,0.140399,0.0025242,0.0199872,0.583949
:6:1,2,1,0.888078,0.0667464,0.00508692,0.0330633,1.23132
:6:1,3,1,0.942579,0.0190417,0.00834695,0.048942,1.67256
:6:2,1,1,0.694891,0.595283,3.06965e-05,0.0307901,2.1602
:6:2,2,1,0.805839,0.598858,3.8064e-05,0.05964,4.21929
:6:2,3,1,0.8691,0.559914,5.8843e-05,0.0850917,6.10699
:6:3,1,1,0.62871,0.62717,1.16791e-07,0.0447252,2.36275
:6:3,2,1,0.711922,0.704652,5.15825e-07,0.0823823,4.72393
:6:3,3,1,0.785888,0.775872,6.13151e-07,0.113073,7.08304

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 19,11
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.806967,0.0488506,0.00535551,0.175336,0.339752
:6:1,2,1,0.922109,0.0106908,0.0113673,0.312743,0.650686
:6:1,3,1,0.954523,0.00382038,0.0171566,0.430064,0.960897
:6:2,1,1,0.700532,0.443236,7.85695e-05,0.30205,1.50952
:6:2,2,1,0.811321,0.380698,0.000140245,0.548436,3.08946
:6:2,3,1,0.87373,0.330435,0.000183487,0.795768,4.66717
:6:3,1,1,0.642477,0.628536,9.57929e-07,0.425848,2.33722
:6:3,2,1,0.73343,0.702177,1.92553e-06,0.809164,4.68246
:6:3,3,1,0.78955,0.742733,3.16407e-06,1.16418,7.00896

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 19,19
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.807944,0.0426843,0.00667125,0.271017,0.29922
:6:1,2,1,0.925591,0.0102465,0.0132755,0.454458,0.597026
:6:1,3,1,0.960784,0.00422998,0.0189781,0.70075,0.897344
:6:2,1,1,0.720965,0.448105,7.72967e-05,0.462864,1.47087
:6:2,2,1,0.834087,0.342199,0.000170662,0.88986,2.91874
:6:2,3,1,0.884867,0.278364,0.000255772,1.33679,4.39449
